Date,Vendor,Category,Amount,Recurring,Months Active
1/15/2026,ClassPass Software,Software,299,Yes,12
1/15/2026,MindBody Booking,Software,279,Yes,12
1/16/2026,Spotify Business,Software,27,Yes,12
1/18/2026,City Water,Utilities,140,Yes,12
1/20/2026,Equipment Repair,Maintenance,850,No,1
1/22/2026,Instagram Ads,Marketing,400,Yes,12
1/25/2026,Google Ads,Marketing,350,Yes,12
1/28/2026,Towel Service,Supplies,180,Yes,12
2/1/2026,Annual Insurance,Insurance,4200,No,1
2/3/2026,Cleaning Crew,Maintenance,600,Yes,12
2/5/2026,Gym Software Pro,Software,189,Yes,12
2/8/2026,Protein Supplier,Supplies,520,Yes,12
2/10/2026,Facebook Ads,Marketing,380,Yes,12
2/12/2026,Electricity,Utilities,310,Yes,12
2/15/2026,Equipment Lease,Equipment,2200,Yes,12
